"","Peso","Altura","Juegos.Jugados","Juegos.Titular","Goles","Minutos.Jugados","Tarjetas.Amarillas","Tarjetas.Rojas"
"426",70,1.7,7,7,0,567,1,0
"427",78,1.79,9,5,0,504,0,0
"428",77,1.8,9,9,2,772,4,0
"429",60,1.7,10,10,1,807,3,0
"430",78,1.8,6,2,0,185,0,0
"431",80,1.8,8,4,2,436,3,0
"432",72.5,1.82,10,10,0,900,1,0
"433",84.1,1.83,0,0,0,0,0,0
"434",82.3,1.81,0,0,0,0,0,0
"435",70,1.91,8,7,0,653,1,0
"436",74,1.82,9,9,2,764,3,1
"437",67,1.76,2,1,0,103,0,0
"438",68,1.78,4,4,0,283,0,0
"439",78.3,1.88,4,4,0,331,1,0
"440",73,1.76,8,8,3,720,3,0
"441",71,1.78,10,7,1,667,0,0
"442",72,1.8,10,10,0,900,1,0
"443",67,1.78,3,3,0,260,0,0
"444",74.5,1.74,9,8,0,734,1,0
"445",79.2,1.75,6,0,0,108,1,0
"446",62,1.75,4,1,0,130,0,0
"447",66,1.76,9,9,0,720,2,0
"448",80,1.81,7,5,0,445,2,0
"449",76,1.78,0,0,0,0,0,0
"450",72.4,1.78,0,0,0,0,0,0
"451",78.8,1.86,9,9,2,810,5,0
"452",74.4,1.7,9,7,0,528,2,0
"453",79,1.84,6,2,0,294,1,0
"454",72,1.79,3,2,1,119,0,0
