"","Nombre","Equipo & Posicion","Peso","Altura","Nacionalidad","Juegos Jugados","Juegos Titular","Goles","Autogoles","Minutos Jugados","Tarjetas Amarillas","Tarjetas Rojas"
"98","Jorge Eduardo Sánchez Ramos","Defensa Lateral en América (LIGA MX) para Apertura 2018 - Clausura 2021","71 kg","1.75","Mexicano","4","4",NA,"0","272",NA,"1"
"99","Sebastián Enzo Cáceres Ramos","Defensa en América (LIGA MX) para Clausura 2020 - Apertura 2024","76.6 kg","1.8","Uruguayo","1",NA,NA,"0","38",NA,NA
"100","Jesús Alonso Escoboza Lugo","Defensa en América (LIGA MX) para Clausura 2020 - Apertura 2022","68 kg","1.71","Mexicano","6","3",NA,"0","253",NA,NA
"101","Bruno Amilcar Valdez Rojas","Defensa Central en América (LIGA MX) para Apertura 2018 - Clausura 2023","78 kg","1.79","Paraguayo","8","8","1","0","645","1","1"
"102","Víctor Emanuel Aguilera ","Defensa Central en América (LIGA MX) para Clausura 2019 - Apertura 2020","87.8 kg","1.87","Argentino","10","10",NA,"0","900","1",NA
"103","Paul Nicolás Aguilar Rojas","Defensa Lateral en América (LIGA MX) para Apertura 2018 - Apertura 2020","67 kg","1.8","Mexicano","10","10",NA,"0","897","4",NA
"104","Oscar Haret Ortega  Gatica","Defensa Central en América (LIGA MX) para Apertura 2019 - Clausura 2021","80 kg","1.9","Mexicano","3","2",NA,"0","182",NA,NA
"105","Santiago Cáseres ","Medio en América (LIGA MX) para Clausura 2020 - Apertura 2020","84 kg","1.8","Argentino","5","2",NA,"0","197",NA,"1"
"106","Leonardo Gabriel Suárez ","Medio en América (LIGA MX) para Clausura 2020 - Apertura 2024","63 kg","1.63","Argentino","9","5","1","0","453","2",NA
"107","Andrés Felipe Ibargüen García","Medio Ofensivo en América (LIGA MX) para Clausura 2019 - Apertura 2021","70 kg","1.75","Colombiano","8","5","2","0","389",NA,NA
"108","Nicolás Benedetti Roa","Medio Ofensivo en América (LIGA MX) para Clausura 2019 - Apertura 2023","73 kg","1.77","Colombiano",NA,NA,NA,"0",NA,NA,NA
"109","Francisco Sebastián Córdova Reyes","Medio en América (LIGA MX) para Clausura 2019 - Clausura 2022","65.8 kg","1.74","Mexicano","7","6",NA,"0","531",NA,NA
"110","Richard Rafael Sánchez Guerrero","Medio en América (LIGA MX) para Apertura 2019 - Clausura 2024","70 kg","1.7","Paraguayo","10","10",NA,"0","893",NA,NA
"111","Antonio de Jesús López Amenábar","Medio Ofensivo en América (LIGA MX) para Apertura 2018 - Clausura 2021","66 kg","1.72","Mexicano","2",NA,NA,"0","5",NA,NA
"112","Fernando Rubén González Pineda","Medio Defensivo en América (LIGA MX) para Apertura 2019 - Clausura 2022","70 kg","1.7","Mexicano","9","7",NA,"0","633","2",NA
"113","Alex Renato Ibarra Mina","Medio Ofensivo en América (LIGA MX) para Apertura 2018 - Clausura 2023","75 kg","1.72","Ecuatoriano",NA,NA,NA,"0",NA,NA,NA
"114","Miguel Leyva Río De La Loza","Medio en América (LIGA MX) para Clausura 2020","70 kg","1.7","Mexicano",NA,NA,NA,"0",NA,NA,NA
