"","X","Nombre","Equipo...Posicion","Peso","Altura","Nacionalidad","Juegos.Jugados","Juegos.Titular","Goles","Minutos.Jugados","Tarjetas.Amarillas","Tarjetas.Rojas"
"200",200,"Eduardo  Fernández López","UANL ",84,1.91,"Mexicano",0,0,0,0,0,0
"201",201,"Miguel René Ortega Rodríguez","UANL ",74.2,1.93,"Mexicano",0,0,0,0,0,0
"202",202,"Carlos Joel Salcedo Hernández","UANL ",77,1.88,"Mexicano",5,4,0,405,1,0
"203",203,"Hugo Ayala Castro","UANL ",81,1.83,"Mexicano",6,6,0,495,0,0
"204",204,"Jorge Emmanuel Torres Nilo","UANL ",81.4,1.82,"Mexicano",4,2,0,182,0,0
"205",205,"Juan José Sánchez Purata","UANL ",78.3,1.87,"Mexicano",1,0,0,84,0,0
"206",206,"Francisco Eduardo Venegas Moreno","UANL ",70,1.78,"Mexicano",1,0,0,15,0,0
"207",207,"Jordan Steeven Sierra Flores","UANL ",61.9,1.69,"Ecuatoriano",6,3,0,302,1,0
"208",208,"Diego Antonio Reyes Rosales","UANL ",75.1,1.92,"Mexicano",4,4,0,276,0,0
"209",209,"Francisco Javier Meza Palma","UANL ",79,1.84,"Colombiano",4,4,0,360,1,0
"210",210,"Eduardo Santiago Tercero Méndez","UANL ",69,1.8,"Mexicano",0,0,0,0,0,0
"211",211,"Rafael De Souza Pereira","UANL ",78.8,1.81,"Brasileño",8,6,0,529,1,0
"212",212,"Guido Hernán Pizarro Demestri","UANL ",74.6,1.85,"Mexicano",9,9,0,810,1,0
"213",213,"Javier Ignacio Aquino Carmona","UANL ",64,1.68,"Mexicano",9,7,1,619,1,0
"214",214,"Jürgen Damm Rascón","UANL ",70,1.85,"Mexicano",1,0,0,45,0,0
"215",215,"Luis Alfonso Rodríguez Alanís","UANL ",76,1.77,"Mexicano",10,9,0,805,3,0
"216",216,"Jesús Alberto Dueñas Manzo","UANL ",75,1.79,"Mexicano",10,10,0,871,2,0
"217",217,"José Luis García Montes","UANL ",70,1.75,"Mexicano",0,0,0,0,0,0
"218",218,"Eduardo Jesús Vargas Rojas","UANL ",81,1.74,"Chileno",7,2,1,281,0,0
"219",219,"André-pierre Christian Gignac ","UANL ",91,1.87,"Francés",9,9,8,798,2,0
"220",220,"Nicolás Federico López Alonso","UANL ",74.4,1.78,"Uruguayo",4,4,0,264,0,0
"221",221,"Enner Remberto Valencia Lastra","UANL ",75.6,1.77,"Ecuatoriano",9,7,1,595,1,0
"222",222,"Luis Enrique Quiñones ","UANL ",64.8,1.78,"Colombiano",7,6,1,556,1,0
"223",223,"Julián Andrés Quiñones Quiñones","UANL ",78.4,1.77,"Colombiano",4,0,0,54,0,0
"237",237,"Enrique Eduardo Palos Reyes","FC Juárez ",80,1.82,"Mexicano",0,0,0,0,0,0
"238",238,"Marco Antonio Canales Lomelí","FC Juárez ",69,1.72,"Mexicano",0,0,0,0,0,0
"239",239,"Edmundo Iván Vázquez Mellado Pérez","FC Juárez ",78,1.78,"Mexicano",10,10,0,900,2,0
"240",240,"Jonathan Leonardo Lacerda Araujo","FC Juárez ",79,1.8,"Uruguayo",1,1,0,48,0,0
"241",241,"Luis Alberto López López","FC Juárez ",77,1.82,"Mexicano",6,4,0,419,1,0
"242",242,"Elio Castro Guadarrama","FC Juárez ",77,1.85,"Mexicano",2,0,0,85,1,0
"243",243,"Eder Nicolás Borelli Cap","FC Juárez ",68,1.67,"Mexicano",0,0,0,0,0,0
"244",244,"Maximiliano Martín Olivera De Andrea","FC Juárez ",72,1.81,"Uruguayo",6,5,1,470,1,0
"245",245,"Israel Sabdi Jiménez Nañez","FC Juárez ",79,1.76,"Mexicano",10,10,0,894,1,0
"246",246,"Bruno Sebastián Romo Rojas","FC Juárez ",89,1.9,"Chileno",8,8,2,645,0,0
"247",247,"José Abraham Rodríguez Zazueta","FC Juárez ",78,1.77,"Mexicano",2,2,0,180,1,0
"248",248,"Victor Gustavo Velazquez Ramos","FC Juárez ",80,1.83,"Paraguayo",10,10,1,900,3,0
"249",249,"Alberto Joshimar Acosta Alvarado","FC Juárez ",74,1.75,"Mexicano",0,0,0,0,0,0
"250",250,"César Ronaldo Gandara Jiménez","FC Juárez ",77,1.81,"Mexicano",0,0,0,0,0,0
"251",251,"Walter Gael Sandoval Contreras","FC Juárez ",69,1.68,"Mexicano",1,0,0,46,0,0
"252",252,"Edy Germán Brambila Rosales","FC Juárez ",68,1.7,"Mexicano",1,0,0,12,0,0
"253",253,"Mauro Raúl Fernández ","FC Juárez ",67,1.69,"Argentino",10,10,0,701,1,0
"254",254,"William Gabriel Mendieta Pintos","FC Juárez ",77,1.78,"Paraguayo",6,2,0,267,1,0
"255",255,"Jefferson Alfredo Intriago Mendoza","FC Juárez ",75,1.72,"Ecuatoriano",10,10,0,900,4,0
"256",256,"José Joaquín Esquivel Martínez","FC Juárez ",80,1.8,"Mexicano",9,8,0,723,1,0
"257",257,"Flavio Jesús Santos Carrillo","FC Juárez ",73,1.72,"Mexicano",8,4,3,348,2,1
"258",258,"Manuel Viniegra García","FC Juárez ",71,1.77,"Mexicano",0,0,0,0,0,0
"259",259,"Francisco Javier Nevarez Pulgarin","FC Juárez ",70,1.71,"Mexicano",0,0,0,0,0,0
"260",260,"Martín Ernesto Rabuñal Rey","FC Juárez ",77,1.78,"Uruguayo",6,4,1,363,1,0
"261",261,"Omar Antonio Panuco Padilla","FC Juárez ",69,1.67,"Mexicano",0,0,0,0,0,0
"262",262,"Dario Lezcano Fariña","FC Juárez ",78,1.79,"Paraguayo",10,10,6,875,3,0
"263",263,"Leandro Carrijo Silva","FC Juárez ",83,1.82,"Brasileño",0,0,0,0,0,0
"264",264,"Ángelo Nicolás Sagal Tapia","FC Juárez ",78,1.78,"Chileno",10,6,1,526,1,0
"265",265,"Brian Alejandro Rubio Rodríguez","FC Juárez ",80,1.84,"Mexicano",6,0,1,50,1,0
"266",266,"Diego Alejandro Rolan Silva","FC Juárez ",69,1.78,"Uruguayo",7,6,4,528,2,0
"275",275,"Carlos Sebastián Sosa Silva","M. Morelia ",76.5,1.79,"Mexicano",6,6,0,540,0,0
"276",276,"Ricardo Daniel Gutiérrez Hernández","M. Morelia ",77.5,1.81,"Mexicano",0,0,0,0,0,0
"277",277,"Luis Ángel Malagón Velázquez","M. Morelia ",75,1.81,"Mexicano",4,4,0,360,1,0
"278",278,"Efraín Velarde Calvillo","M. Morelia ",72.7,1.74,"Mexicano",7,6,0,520,1,0
"279",279,"Paolo Medina Etienne","M. Morelia ",69,1.75,"Mexicano",2,1,0,104,0,0
"280",280,"Carlos Alonso Vargas Tenorio","M. Morelia ",68.5,1.78,"Mexicano",3,2,1,202,0,0
"281",281,"Sebastián Ignacio Vegas Orellana","M. Morelia ",80.9,1.82,"Chileno",9,9,0,807,2,1
"282",282,"Jose Enrique Ortiz Cortes","M. Morelia ",80,1.81,"Colombiano",7,6,1,455,2,1
"283",283,"Gonzalo Alejandro Jara Reyes","M. Morelia ",78,1.78,"Chileno",6,6,0,540,1,0
"284",284,"Andrés Didyer Catalán Guemes","M. Morelia ",63.4,1.66,"Mexicano",0,0,0,0,0,0
"285",285,"José Joaquín Martínez Valadez","M. Morelia ",70.2,1.77,"Mexicano",9,7,1,668,2,0
"286",286,"Gabriel Eduardo Achilier Zurita","M. Morelia ",85.6,1.81,"Ecuatoriano",3,3,1,270,0,0
"287",287,"Jesús Eduardo González Mendivil","M. Morelia ",59,1.8,"Mexicano",0,0,0,0,0,0
"288",288,"Mario Alejandro Trejo Castro","M. Morelia ",71.1,1.81,"Mexicano",0,0,0,0,0,0
"289",289,"Mario Humberto Osuna Pereznuñez","M. Morelia ",76.5,1.76,"Mexicano",6,3,0,239,0,0
"290",290,"Jorge Luis Valdivia Toro","M. Morelia ",72.4,1.74,"Chileno",3,3,0,270,1,0
"291",291,"Martín Vladimir Rodríguez Torrejón","M. Morelia ",64.5,1.7,"Chileno",10,9,3,771,2,0
"292",292,"Cándido Saúl Ramírez Montes","M. Morelia ",66.8,1.7,"Mexicano",6,4,0,340,1,0
"293",293,"Lucas Martin Villafañez ","M. Morelia ",66.8,1.7,"Argentino",7,2,1,286,1,0
"294",294,"Rodrigo Javier Millar Carvajal","M. Morelia ",76.8,1.82,"Mexicano",8,8,1,640,0,0
"295",295,"Luis Ángel Mendoza Escamilla","M. Morelia ",72,1.73,"Mexicano",8,8,0,645,1,0
"296",296,"Roberto Ismael Meráz Bernal","M. Morelia ",78.9,1.8,"Mexicano",1,0,0,13,0,0
"297",297,"Aldo Paúl Rocha González","M. Morelia ",69.7,1.67,"Mexicano",10,10,5,900,2,0
"298",298,"Eduardo Del Ángel Reséndiz","M. Morelia ",70.3,1.74,"Mexicano",0,0,0,0,0,0
"299",299,"César Saúl Huerta Valera","M. Morelia ",68.7,1.72,"Mexicano",6,1,0,165,1,1
"300",300,"Fernando Luis Aristeguieta De Luca","M. Morelia ",85,1.87,"Venezolano",10,6,2,647,2,0
"301",301,"Miguel Ángel Sansores Sánchez","M. Morelia ",74.5,1.75,"Mexicano",8,5,1,414,1,0
"312",312,"Jesús Iván Rodríguez Trujillo","Puebla F.C. ",85.9,1.86,"Mexicano",0,0,0,0,0,0
"313",313,"Santiago Noé Ramírez Acosta","Puebla F.C. ",79,1.8,"Mexicano",0,0,0,0,0,0
"314",314,"Nicolás Vikonis Moreau","Puebla F.C. ",86,1.84,"Uruguayo",10,10,0,900,1,0
"315",315,"Brayan Alexis Angulo León","Puebla F.C. ",77.2,1.75,"Colombiano",0,0,0,0,0,0
"316",316,"Luis Fernando Haquin López","Puebla F.C. ",78,1.9,"Boliviano",0,0,0,0,0,0
"317",317,"Daniel Arreola Argüello","Puebla F.C. ",74.6,1.78,"Mexicano",8,7,0,621,1,0
"318",318,"Diego Andrés Cruz Esparza","Puebla F.C. ",60,1.69,"Mexicano",0,0,0,0,0,0
"319",319,"Carlos Gerardo Rodríguez Serrano","Puebla F.C. ",78.5,1.81,"Mexicano",3,3,0,245,0,0
"320",320,"Alonso René Zamora Barrera","Puebla F.C. ",72.6,1.79,"Mexicano",0,0,0,0,0,0
"321",321,"Maximiliano Perg Schneider","Puebla F.C. ",81,1.85,"Uruguayo",10,10,0,900,2,0
"322",322,"Jesús Arturo Paganoni Peña","Puebla F.C. ",68,1.69,"Mexicano",3,3,0,195,0,0
"323",323,"Maximiliano Javier Araújo Vilches","Puebla F.C. ",74,1.76,"Uruguayo",1,0,0,19,0,0
